metric,value
valid_approach_samples,522
member_top1_accuracy,0.6992337164750958
member_top2_coverage,0.8831417624521073
median_local_score_spread,0.023438582089704396
key_event_target,T2
key_event_time_s,240.0
key_event_physical_member,F2
key_event_model_member,F2
key_event_delta_S_total,-0.0022611400449055186
delta_Sagg_median_F1,9.054297037641712e-05
delta_Sagg_median_F2,-2.6991864095771145e-05
delta_Sagg_median_F3,-5.839512176031292e-07
delta_Sagg_median_F4,-0.00404707487560807
mean_spearman,0.9982766817209414
min_spearman,0.9642857142857143
top1_retention,0.9883527454242929
top3_retention,0.9950083194675541
median_abs_score_delta,0.00013037806295623788
max_abs_score_delta,0.005256726463953587
geometry_mae,0.0
pair_mae,0.0
form_mae,0.0
