Time,Aircraft,Role,CapabilityState,DamageLevel,Value,Vulnerability,BaselineVulnerability,Maneuverability,BaselineManeuverability,DegradationFactor,AggregationWeight
0,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
0,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
0,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
0,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
1,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
1,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
1,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
1,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
2,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
2,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
2,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
2,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
3,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
3,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
3,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
3,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
4,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
4,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
4,F3,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
4,F4,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
5,F1,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
5,F2,Member,Healthy,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25
